car_title,car_price_highlighted,car_km,car_hand,car_fuel,car_engine,car_hp,car_transmission,car_drive,car_color,car_body
"Tesla Model 3, 2022",₪ 169 999,47 000 km,2nd hand,Electro,,283 hp,Automatic,RWD,White,Sedan
"Peugeot 2008, 2018",₪ 55 900,89 000 km,1st hand,Gasoline,1.2 l,110 hp,Automatic,FWD,White,Estate 5-door
"Toyota Corolla, 2007",₪ 17 000,260 000 km,3rd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Silver,Sedan
"MG EHS, 2021",₪ 128 000,27 000 km,2nd hand,Plug-in Hybrid,1.5 l,258 hp,Automatic,FWD,White,SUV 5-doors
"SEAT Ibiza, 2023",₪ 92 500,24 000 km,1st hand,Gasoline,1.0 l,110 hp,Robotic,FWD,Silver,Mini 5-doors
"Mitsubishi Attrage, 2021",₪ 59 900,66 000 km,1st hand,Gasoline,1.2 l,80 hp,Variable,FWD,Silver,Sedan
"Citroen Berlingo, 2020",₪ 78 900,123 000 km,1st hand,Diesel,1.5 l,100 hp,Manual,FWD,White,Compact Van
"Chevrolet Malibu, 2017",₪ 51 900,176 000 km,3rd hand,Gasoline,1.5 l,160 hp,Automatic,FWD,White,Sedan
"Skoda Fabia, 2010",₪ 13 000,248 000 km,3rd hand,Gasoline,1.6 l,105 hp,Automatic,FWD,Bronze,Estate 5-door
"Kia Sportage, 2020",₪ 76 000,175 000 km,2nd hand,Diesel,1.6 l,136 hp,Robotic,FWD,Silver,SUV 5-doors
"Mitsubishi Pajero, 2008",₪ 76 000,341 000 km,4th hand,Diesel,3.2 l,170 hp,Automatic,4x4,Grey,SUV 5-doors
"Skoda Octavia, 2018",₪ 34 999,171 000 km,4th hand,Gasoline,1.0 l,116 hp,Robotic,FWD,White,Estate 5-door
"Nissan X-Trail, 2020",₪ 99 900,121 000 km,1st hand,Diesel,1.7 l,150 hp,Automatic,FWD,Grey,SUV 5-doors
"Skoda Octavia, 2021",₪ 109 900,91 000 km,1st hand,Gasoline,1.5 l,150 hp,Robotic,FWD,Silver,Liftback
"Skoda Scala, 2020",₪ 57 000,91 000 km,2nd hand,Gasoline,1.0 l,115 hp,Robotic,FWD,Grey,Hatchback 5-door
